GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
patientcare,com.medieninformatik.patientcare.usermanagement.domain.model.valueobjects,lastName,6,0,0,0,1,0,1,0,1,0
patientcare,com.medieninformatik.patientcare.usermanagement.domain.model.valueobjects,firstName,6,0,0,0,1,0,1,0,1,0
patientcare,com.medieninformatik.patientcare.usermanagement.domain.model.shared,User,13,11,0,0,5,5,4,3,4,3
patientcare,com.medieninformatik.patientcare.patientdatamanagement.domain.model,Diagnosis,4,43,0,0,1,13,1,6,1,6
patientcare,com.medieninformatik.patientcare.patientdatamanagement.domain.model,Measurement.Type,51,0,0,0,9,0,1,0,1,0
patientcare,com.medieninformatik.patientcare.patientdatamanagement.domain.model,Treatment,0,39,0,0,0,14,0,7,0,7
patientcare,com.medieninformatik.patientcare.patientdatamanagement.domain.model,Measurement,23,0,0,0,11,0,5,0,5,0
patientcare,com.medieninformatik.patientcare.patientdatamanagement.services,NoteService,23,145,11,35,7,25,11,22,1,9
patientcare,com.medieninformatik.patientcare.usermanagement.domain.model,Doctor,11,9,0,0,6,4,2,1,2,1
patientcare,com.medieninformatik.patientcare.usermanagement.domain.model,Patient,18,9,0,0,9,4,4,1,4,1
patientcare,com.medieninformatik.patientcare.patientdatamanagement.domain.model.shared,Note,43,3,0,0,17,1,11,1,11,1
patientcare,com.medieninformatik.patientcare.shared.services,HelperService,0,19,0,0,0,6,0,2,0,2
patientcare,com.medieninformatik.patientcare.patientdatamanagement.domain.model.valueobjects,IcdCode,4,9,0,0,2,4,1,2,1,2
patientcare,com.medieninformatik.patientcare.patientdatamanagement.domain.model.valueobjects,File,36,0,0,0,16,0,8,0,8,0
patientcare,com.medieninformatik.patientcare.patientdatamanagement.domain.model.valueobjects,Recommendation,3,6,0,0,1,3,1,1,1,1
patientcare,com.medieninformatik.patientcare.usermanagement.infrastructure.controllers,DoctorController,11,0,0,0,4,0,2,0,2,0
patientcare,com.medieninformatik.patientcare.usermanagement.infrastructure.controllers,PatientController,11,0,0,0,4,0,2,0,2,0
patientcare,com.medieninformatik.patientcare.appointmentmanagement.services,AppointmentService,6,61,0,2,4,18,3,9,3,8
patientcare,com.medieninformatik.patientcare.config,StartupRunner,69,0,0,0,14,0,2,0,2,0
patientcare,com.medieninformatik.patientcare.usermanagement.services,DoctorService,11,0,0,0,4,0,2,0,2,0
patientcare,com.medieninformatik.patientcare.usermanagement.services,PatientService,11,0,0,0,4,0,2,0,2,0
patientcare,com.medieninformatik.patientcare,PatientcareApplication,9,0,0,0,4,0,3,0,3,0
patientcare,com.medieninformatik.patientcare.appointmentmanagement.domain.model,Appointment,66,98,6,2,22,35,13,15,10,14
patientcare,com.medieninformatik.patientcare.appointmentmanagement.domain.model,Appointment.Type,0,15,0,0,0,3,0,1,0,1
